"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"98","BTT17","2018-06-13 10:00:00","A69-1602-65155",3,"bank","Day",0.194353,"low","sand",1,12
"99","BTT37","2018-06-13 10:00:00","A69-1602-65067",3,"bank","Day",0.289154,"incoming","seagrass",3,12
"100","BTT18","2018-06-13 11:00:00","A69-1602-65064",2.1,"channel","Day",0.816561,"incoming","seagrass",2,1
"101","BTT27","2018-06-13 11:00:00","A69-1602-65065",2.7,"bank","Day",0.816561,"incoming","sand",1,1
"102","BTT7","2018-06-13 11:00:00","A69-1602-65066",1.6,"basin","Day",0.415488,"incoming","seagrass",2,12
"103","BTT49","2018-06-13 11:00:00","A69-1602-65068",3,"channel","Day",0.386288,"incoming","seagrass",3,2
"104","BTT13","2018-06-13 11:00:00","A69-1602-65069",2.8,"basin","Day",1.006489,"high","seagrass",3,11
"105","BTT54","2018-06-13 11:00:00","A69-1602-65070",3.4,"channel","Day",0.137019,"low","sand",1,11
"106","BTT46","2018-06-13 11:00:00","A69-1602-65071",2,"basin","Day",0.386288,"incoming","seagrass",1,2
"107","BTT17","2018-06-13 11:00:00","A69-1602-65155",3,"bank","Day",0.415488,"incoming","sand",1,11
"108","BTT37","2018-06-13 11:00:00","A69-1602-65067",3,"bank","Day",0.386288,"incoming","seagrass",3,12
"109","BTT18","2018-06-13 12:00:00","A69-1602-65064",2.1,"channel","Day",1.006489,"high","seagrass",2,2
"110","BTT27","2018-06-13 12:00:00","A69-1602-65065",2.7,"bank","Day",1.006489,"high","sand",1,0
"111","BTT7","2018-06-13 12:00:00","A69-1602-65066",1.6,"basin","Day",0.606586,"high","seagrass",2,9
"112","BTT49","2018-06-13 12:00:00","A69-1602-65068",3,"channel","Day",0.460884,"high","seagrass",3,8
"113","BTT13","2018-06-13 12:00:00","A69-1602-65069",2.8,"basin","Day",1.077698,"high","seagrass",3,12
"114","BTT54","2018-06-13 12:00:00","A69-1602-65070",3.4,"channel","Day",0.294646,"low","sand",1,12
"115","BTT46","2018-06-13 12:00:00","A69-1602-65071",2,"basin","Day",0.460884,"high","seagrass",1,2
"116","BTT17","2018-06-13 12:00:00","A69-1602-65155",3,"bank","Day",0.606586,"high","sand",1,10
"117","BTT37","2018-06-13 12:00:00","A69-1602-65067",3,"bank","Day",0.460884,"high","seagrass",3,12
"118","BTT18","2018-06-13 13:00:00","A69-1602-65064",2.1,"channel","Day",1.077698,"high","seagrass",2,6
"119","BTT27","2018-06-13 13:00:00","A69-1602-65065",2.7,"bank","Day",1.077698,"high","sand",1,5
"120","BTT7","2018-06-13 13:00:00","A69-1602-65066",1.6,"basin","Day",0.69958,"high","seagrass",2,11
"121","BTT49","2018-06-13 13:00:00","A69-1602-65068",3,"channel","Day",0.500589,"high","seagrass",3,9
"122","BTT13","2018-06-13 13:00:00","A69-1602-65069",2.8,"basin","Day",1.037456,"high","seagrass",3,10
"123","BTT54","2018-06-13 13:00:00","A69-1602-65070",3.4,"channel","Day",0.55565,"incoming","sand",1,11
"124","BTT46","2018-06-13 13:00:00","A69-1602-65071",2,"basin","Day",0.500589,"high","seagrass",1,4
"125","BTT17","2018-06-13 13:00:00","A69-1602-65155",3,"bank","Day",0.69958,"high","sand",1,8
"126","BTT37","2018-06-13 13:00:00","A69-1602-65067",3,"bank","Day",0.500589,"high","seagrass",3,11
